OUTCOME,TOP_GOLD_DIFF,TOP1_IMPACT,TOP2_IMPACT,JUNGLE_GOLD_DIFF,JUNGLE1_IMPACT,JUNGLE2_IMPACT,MIDDLE_GOLD_DIFF,MIDDLE1_IMPACT,MIDDLE2_IMPACT,BOTTOM_GOLD_DIFF,BOTTOM1_IMPACT,BOTTOM2_IMPACT,UTILITY_GOLD_DIFF,UTILITY1_IMPACT,UTILITY2_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
0,-2939,0,1,-2430,0,2,311,1,3,-2538,0,2,-2029,2,3,0,-1,0,0,-1,0,-1,0,0,-3,0,1,0,0,0,-1,0,-2,0,0
0,1318,1,2,2332,2,2,-3037,4,1,-1275,5,2,-469,3,0,0,0,-1,1,0,1,4,2,0,0,0,0,0,-1,0,-1,1,0,1,1
1,-1328,1,1,-1337,2,3,-38,2,0,650,3,1,-776,3,2,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,0,0,-2,0,-1
1,-202,0,1,1874,1,3,-1086,1,2,4404,3,5,1077,2,5,0,0,0,0,1,1,2,2,0,0,0,0,0,1,-2,2,0,0,0,2
1,857,0,2,1185,1,0,2961,0,0,1631,2,1,993,1,2,0,0,0,0,0,-1,1,1,2,0,0,0,0,-1,0,0,0,-1,0,0
1,1028,2,1,1053,2,1,45,1,2,-904,2,1,-2086,4,0,-1,-1,0,0,1,-1,1,0,0,1,0,-1,0,0,-1,-1,0,-2,0,-1
0,425,3,0,-963,3,2,-936,2,3,-1406,2,1,-1363,0,1,1,2,0,0,1,-2,1,0,2,0,0,-1,0,0,0,0,0,0,0,-1
1,556,1,2,2545,1,2,2703,0,0,2522,0,1,2025,1,3,0,0,0,0,1,-1,0,0,1,2,0,1,0,0,0,2,0,0,-1,0
1,-1441,0,0,1525,1,1,282,0,0,1599,0,1,753,1,5,0,0,0,0,-1,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0
1,3049,0,1,1092,0,5,3565,1,0,1937,1,4,1745,0,4,0,0,0,0,1,0,2,1,0,2,1,0,0,1,0,3,0,0,0,1
1,3717,1,1,-465,1,3,-2305,0,0,5286,1,2,933,0,5,0,0,1,0,0,-1,1,2,0,0,0,0,1,2,0,2,0,0,0,0
0,-341,1,1,-395,1,2,-2187,2,1,-3587,2,5,-778,0,5,0,0,0,0,1,0,0,-1,-1,0,0,0,-1,-2,-1,-1,0,1,-2,-1
1,-98,2,2,1245,3,2,-1192,2,2,2698,0,0,142,1,4,1,-2,0,0,-1,2,0,-1,0,-1,0,0,0,1,0,4,-1,0,0,0
0,-972,0,0,-850,1,3,-600,1,1,-719,0,2,-537,3,5,0,0,0,0,0,-2,-1,1,0,0,-1,0,0,-1,1,2,0,-3,-1,-1
0,3316,0,1,-575,0,0,-942,1,1,-1267,1,3,-1308,1,2,-1,0,0,0,0,1,1,1,0,0,0,-1,0,-2,0,-1,0,-1,0,-1
1,821,0,0,208,1,2,62,1,1,1761,0,2,803,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0
1,2233,1,1,-228,2,0,-1183,1,0,-86,0,0,-260,2,0,0,-1,0,0,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1
1,866,0,2,1829,2,2,2468,3,3,2089,1,0,233,6,4,0,0,0,1,0,2,-1,0,-1,1,0,0,0,0,0,2,-1,-1,0,-3
