contrast,estimate,pvalue
TOP_JUNGLE,-17.595603067009332,0.05154766164235169
TOP_MIDDLE,-2.717049353361848,0.8269173291228632
TOP_BOTTOM,-44.449628020776274,1.009178413663405e-12
TOP_UTILITY,12.760622201473765,0.009638295674648268
JUNGLE_TOP,8.753573208412307,0.05154766164235169
JUNGLE_MIDDLE,18.53888658690088,0.003352669127718403
JUNGLE_BOTTOM,-43.654282716583815,1.543504829424725e-07
JUNGLE_UTILITY,54.977283482760875,8.85498446336589e-12
MIDDLE_TOP,-5.450659606720463,0.8269173291228632
MIDDLE_JUNGLE,-29.162929444747665,0.003352669127718403
MIDDLE_BOTTOM,-61.357815425155806,5.386536500539093e-16
MIDDLE_UTILITY,16.742776625836065,0.006675877333237803
BOTTOM_TOP,36.98682643991893,1.009178413663405e-12
BOTTOM_JUNGLE,33.9873994670484,1.543504829424725e-07
BOTTOM_MIDDLE,52.20125125887728,5.386536500539093e-16
BOTTOM_UTILITY,95.51364520099138,1.8423189698155986e-26
UTILITY_TOP,-21.376469622368024,0.009638295674648268
UTILITY_JUNGLE,-66.61876663597639,8.85498446336589e-12
UTILITY_MIDDLE,-27.366344205139843,0.006675877333237803
UTILITY_BOTTOM,-108.00441595253538,1.8423189698155986e-26
